Project Name,Policy ID,Evaluation
infracost/infracost,POL15,CHECKOV
infracost/infracost,POL27,BOTH
infracost/infracost,POL62,NONE
deckgo/deckdeckgo,POL34,BOTH
deckgo/deckdeckgo,POL46,NONE
deckgo/deckdeckgo,POL62,NONE
deckgo/deckdeckgo,POL93,NONE
deckgo/deckdeckgo,POL94,NONE
deckgo/deckdeckgo,POL98,NONE
deckgo/deckdeckgo,POL99,NONE
deckgo/deckdeckgo,POL101,BOTH
terraform-compliance/cli,POL11,NONE
terraform-compliance/cli,POL17,NONE
terraform-compliance/cli,POL18,NONE
terraform-compliance/cli,POL25,BOTH
terraform-compliance/cli,POL27,BOTH
terraform-compliance/cli,POL32,NONE
terraform-compliance/cli,POL34,NONE
terraform-compliance/cli,POL46,BOTH
terraform-compliance/cli,POL48,TFSEC
terraform-compliance/cli,POL56,BOTH
terraform-compliance/cli,POL58,BOTH
terraform-compliance/cli,POL62,NONE
terraform-compliance/cli,POL90,NONE
philips-labs/terraform-aws-github-runner,POL19,NONE
philips-labs/terraform-aws-github-runner,POL46,BOTH
philips-labs/terraform-aws-github-runner,POL47,BOTH
philips-labs/terraform-aws-github-runner,POL62,NONE
philips-labs/terraform-aws-github-runner,POL76,CHECKOV
philips-labs/terraform-aws-github-runner,POL91,BOTH
philips-labs/terraform-aws-github-runner,POL92,BOTH
philips-labs/terraform-aws-github-runner,POL93,NONE
philips-labs/terraform-aws-github-runner,POL94,CHECKOV
philips-labs/terraform-aws-github-runner,POL96,BOTH
philips-labs/terraform-aws-github-runner,POL98,BOTH
philips-labs/terraform-aws-github-runner,POL99,BOTH
philips-labs/terraform-aws-github-runner,POL103,CHECKOV
nozaq/terraform-aws-secure-baseline,POL70,BOTH
nozaq/terraform-aws-secure-baseline,POL71,BOTH
nozaq/terraform-aws-secure-baseline,POL80,BOTH
nozaq/terraform-aws-secure-baseline,POL81,BOTH
nozaq/terraform-aws-secure-baseline,POL91,BOTH
nozaq/terraform-aws-secure-baseline,POL92,BOTH
nozaq/terraform-aws-secure-baseline,POL96,BOTH
fugue/regula,POL19,NONE
fugue/regula,POL26,BOTH
fugue/regula,POL94,NONE
fugue/regula,POL110,BOTH
ine-labs/AWSGoat,POL16,NONE
ine-labs/AWSGoat,POL18,NONE
ine-labs/AWSGoat,POL19,NONE
ine-labs/AWSGoat,POL24,BOTH
ine-labs/AWSGoat,POL25,NONE
ine-labs/AWSGoat,POL27,BOTH
ine-labs/AWSGoat,POL28,TFSEC
ine-labs/AWSGoat,POL34,BOTH
ine-labs/AWSGoat,POL55,NONE
ine-labs/AWSGoat,POL56,TFSEC
ine-labs/AWSGoat,POL58,NONE
ine-labs/AWSGoat,POL62,NONE
ine-labs/AWSGoat,POL93,NONE
