Project Name,Policy ID,Evaluation
terraform-google-modules/terraform-google-sql-db,POL09,NONE
terraform-google-modules/terraform-google-sql-db,POL27,CHECKOV
googlecloudrobotics/core,POL09,BOTH
googlecloudrobotics/core,POL13,NONE
googlecloudrobotics/core,POL19,NONE
terraform-google-modules/terraform-docs-samples,POL27,CHECKOV
praetorian-inc/trident,POL13,NONE
GoogleCloudPlatform/vertex-pipelines-end-to-end-samples,POL09,BOTH
silverton-io/buz,POL09,NONE
interuss/dss,POL13,NONE
ClimateImpactLab/downscaleCMIP6,POL09,BOTH
ClimateImpactLab/downscaleCMIP6,POL13,NONE
GoogleCloudPlatform/cloud-sql-proxy-operator,POL13,NONE
GoogleCloudPlatform/cloud-sql-proxy-operator,POL27,CHECKOV
2i2c-org/infrastructure,POL13,CHECKOV
GoogleCloudPlatform/terraform-google-secure-cicd,POL09,BOTH
google/llvm-premerge-checks,POL09,BOTH
google/llvm-premerge-checks,POL13,BOTH
jenkins-x/terraform-google-jx,POL09,NONE
jenkins-x/terraform-google-jx,POL13,CHECKOV
SygniaLabs/ScallOps,POL09,BOTH
nais/doc,POL09,BOTH
kyma-project/test-infra,POL09,BOTH
llvm/llvm-zorg,POL13,NONE
wynsen/gcp-enterprise,POL09,NONE
wynsen/gcp-enterprise,POL13,BOTH
wynsen/gcp-enterprise,POL16,BOTH
pluralsh/plural-artifacts,POL09,NONE
pluralsh/plural-artifacts,POL10,BOTH
eclipsesource/theia-cloud,POL13,NONE
GoogleCloudPlatform/solutions-template,POL09,BOTH
rodalbuyeh/pyspark-k8s-boilerplate,POL13,NONE
google/privacy-sandbox-aggregation-service,POL09,BOTH
google/privacy-sandbox-aggregation-service,POL13,BOTH
kislerdm/diagramastext,POL09,NONE
GoogleCloudPlatform/monolith-to-microservices-example,POL13,NONE
GoogleCloudPlatform/monolith-to-microservices-example,POL27,CHECKOV
hashicorp/cluster-api-provider-terraform-cloud,POL13,NONE
HPInc/cloud_deployment_scripts,POL09,NONE
kiali/demos,POL13,NONE
datacommonsorg/website,POL09,BOTH
datacommonsorg/website,POL13,NONE
KCarretto/realm,POL27,CHECKOV
kriasoft/terraform-starter-kit,POL09,BOTH
WhatsApp/whatsapp-business-api-deployment-templates,POL13,NONE
GoogleCloudPlatform/matching-engine-tutorial-for-image-search,POL09,BOTH
saeed349/Quant-Trading-Cloud-Infrastructure,POL09,NONE
saeed349/Quant-Trading-Cloud-Infrastructure,POL27,NONE
GoogleCloudPlatform/bq-utilization-alerts,POL09,BOTH
starburstdata/starburst-terraform,POL09,BOTH
starburstdata/starburst-terraform,POL13,NONE
anitechcs/microservices-reference-application,POL13,NONE
abyssparanoia/rapid-go,POL09,NONE
abyssparanoia/rapid-go,POL27,CHECKOV
SatcherInstitute/health-equity-tracker,POL09,NONE
PaloAltoNetworks/terraform-google-vmseries-modules,POL09,BOTH
ScaleSec/gcp_threat_detection_auto_remediation,POL09,NONE
cloudspannerecosystem/spanner-gaming-sample,POL13,NONE
canada-ca/accelerators_accelerateurs-gcp,POL09,BOTH
ita-social-projects/OoS-Backend,POL09,BOTH
cldcvr/gcifi-lz,POL13,BOTH
wandb/terraform-google-wandb,POL09,BOTH
wandb/terraform-google-wandb,POL13,NONE
Cray-HPE/sigstore-poc,POL13,NONE
Cray-HPE/sigstore-poc,POL27,CHECKOV
GoogleCloudPlatform/guacamole-on-gcp,POL13,BOTH
sushil46in/terraform_modules,POL08,BOTH
sushil46in/terraform_modules,POL09,NONE
sushil46in/terraform_modules,POL10,BOTH
sushil46in/terraform_modules,POL13,CHECKOV
sushil46in/terraform_modules,POL16,BOTH
sushil46in/terraform_modules,POL19,NONE
GoogleCloudPlatform/terraform-ecommerce-microservices-on-gke,POL13,NONE
GoogleCloudPlatform/terraform-dynamic-javascript-webapp,POL09,NONE
hashicorp/field-demos-consul-expand-team-qapla-assets,POL09,BOTH
hashicorp/field-demos-consul-expand-team-qapla-assets,POL13,NONE
antoine-amara/staticpack,POL09,NONE
antoine-amara/staticpack,POL19,NONE
mw866/cloudflare-gke,POL13,NONE
thecloudterminal01/learn-devops,POL13,NONE
thecloudterminal01/learn-devops,POL27,CHECKOV
gbrembati/terraform-cloudguard-gke,POL13,NONE
fspin-k8s/fspin-infrastructure,POL09,NONE
fspin-k8s/fspin-infrastructure,POL13,NONE
fspin-k8s/fspin-infrastructure,POL19,NONE
GoogleCloudPlatform/csa-fw-microsegmentation,POL09,BOTH
agileguru/introtocloudandiac,POL09,NONE
HCA97/de-zoomcamp-project,POL09,BOTH
cleibl/terraform-google-gsuite-exporter-cfn,POL09,NONE
nickjacques/example-gcp-iap-and-hierarchical-fw-terraform,POL09,BOTH
AndersenLab/CAENDR,POL27,CHECKOV
genesys/multicloud-platform,POL09,BOTH
genesys/multicloud-platform,POL13,NONE
genesys/multicloud-platform,POL19,NONE
shapleya/tf_gcp_iap_tunnel_ssh_demo,POL09,NONE
galkin/firebase-workshop-devops,POL19,NONE
bocan/mastodon-google-cloud,POL27,CHECKOV
google/video-exclusion-toolbox,POL09,BOTH
broadinstitute/monster-deploy,POL09,NONE
broadinstitute/monster-deploy,POL13,BOTH
broadinstitute/monster-deploy,POL19,NONE
broadinstitute/monster-deploy,POL27,CHECKOV
snsinfu/bit4,POL09,NONE
snsinfu/bit4,POL13,NONE
DataBiosphere/data-store,POL09,NONE
basisai/terraform-google-vault,POL09,BOTH
eduardoocarneiro/terraform-gke,POL13,NONE
CoEDL/elpiscloud,POL19,NONE
batect/abacus,POL08,BOTH
batect/abacus,POL09,BOTH
alphagov/govuk-knowledge-graph-gcp,POL09,BOTH
inabagumi/graph-infra,POL09,NONE
inabagumi/graph-infra,POL19,NONE
ninech/blackbox-exporter-cloudfunction,POL09,NONE
vyshkov/gcp-serverless,POL09,NONE
jswortz/bqml-vertex-matching-engine,POL09,BOTH
GoogleCloudPlatform/terraform-vpc-pupi,POL13,NONE
mohammadmonjureelahi/terraform-gke-helm-wordpress,POL09,NONE
cloudfoundry/app-runtime-interfaces-infrastructure,POL19,NONE
fpgmaas/cloudrun-example-infra,POL09,NONE
iganari/package-gcp,POL09,NONE
ineffyble/AllTheClouds,POL09,NONE
apstndb/image-pull-secret-controller,POL13,NONE
pwolthausen/terraform,POL13,BOTH
Yougo007/gke-cluster,POL13,NONE
israelmendez232/gcp-data-lake-analytics,POL08,TFSEC
israelmendez232/gcp-data-lake-analytics,POL09,NONE
israelmendez232/gcp-data-lake-analytics,POL13,NONE
kevinpz/terraform-gcp-examples,POL09,NONE
luismendezescobar/myproy,POL09,NONE
miiaht/kekkoslovakian-joulukortti-ky,POL09,NONE
miiaht/kekkoslovakian-joulukortti-ky,POL27,CHECKOV
harinderjits-git/sampleapppub,POL09,NONE
harinderjits-git/sampleapppub,POL10,CHECKOV
interledger/rafiki,POL13,NONE
hashicorp/field-workshops-consul,POL13,NONE
GoogleCloudPlatform/dataplex-labs,POL09,BOTH
velascoluis/polyexpose,POL09,NONE
velascoluis/polyexpose,POL13,NONE
velascoluis/polyexpose,POL27,CHECKOV
