project_name,stars_passed,stars,forks,contributors,commits,commiters
kubermatic/kubeone,0.7777777777777778,1216,208,30,1535,69
Azure/terraform,0.49743589743589745,407,528,30,262,2
aztfmod/terraform-azurerm-caf,0.5,379,506,30,4399,149
lynnlangit/learning-cloud,0.4666666666666667,356,102,1,325,1
ned1313/terraform-tuesdays,0.6853582554517134,320,424,1,290,3
HoussemDellai/terraform-course,0.336283185840708,205,730,1,175,1
Azure/Mission-Critical-Online,0.4868421052631579,248,68,10,523,13
microsoft/AzureTRE,0.6088154269972452,117,96,30,1411,48
ComputeCanada/magic_castle,0.8,87,29,18,1384,23
hashicorp/hashicat-azure,0.375,77,1990,7,120,11
sassoftware/viya4-iac-azure,0.7727272727272727,65,79,19,148,23
jakewalsh90/Terraform-Azure,0.6222222222222222,61,97,1,437,2
hashicorp/terraform-azurerm-terraform-enterprise,0.4910394265232975,54,56,18,456,24
Azure/NoOpsAccelerator,0.5645933014354066,57,32,10,355,14
PaloAltoNetworks/terraform-azurerm-vmseries-modules,0.5882352941176471,42,50,19,395,27
CDCgov/prime-simplereport,0.4298245614035088,40,21,30,3624,52
mrsimonemms/gitpod-self-hosted,0.7083333333333334,56,4,2,93,2
microsoft/planetary-computer-hub,0.375,37,12,5,149,5
databricks/terraform-databricks-examples,0.6826347305389222,42,24,7,102,6
MangoInstantMessenger/MangoMessengerAPI,0.2857142857142857,33,7,11,2344,22
asean-rssa/tf_azure_deployment,0.6089108910891089,29,17,2,181,3
equinor/radix-platform,0.25,23,2,22,2205,34
Azure/azure-data-labs-modules,0.6631578947368421,34,12,6,112,7
adamrushuk/devops-lab,0.4838709677419355,21,2,1,1312,1
Pwd9000-ML/Azure-Terraform-Deployments,0.47058823529411764,21,14,3,429,6
sergelogvinov/terraform-talos,0.5882352941176471,19,5,2,275,3
claranet/terraform-azurerm-app-gateway,0.8,20,31,14,255,24
Azure-Samples/container-apps-azapi-terraform,0.16666666666666666,19,7,2,22,2
recognizegroup/terraform,0.5087719298245614,17,2,23,262,2
geekzter/azure-pipeline-agents,0.773109243697479,15,6,1,94,1
echo-webkom/echo-web,0.15384615384615385,14,2,19,3988,35
hashicorp/vault-plugin-auth-azure,0.5714285714285714,14,17,28,135,27
PacktPublishing/Terraform-Cookbook-Second-Edition,0.3880597014925373,18,19,3,88,5
e2eSolutionArchitect/terraform,0.3157894736842105,17,81,1,262,2
PacketFabric/terraform-provider-packetfabric,0.6666666666666666,10,3,10,232,12
MontiCore/montithings,0.5,10,6,30,4441,67
Azure/aks-baseline-windows,0.8297872340425532,11,0,6,27,6
Azure/aks-app-routing-operator,0.3333333333333333,11,4,6,47,4
brave/security-action,0.3333333333333333,12,4,4,104,4
nimbix/jarvice-helm,0.25,9,7,9,2150,11
dirien/quick-bites,0.2222222222222222,14,0,2,116,2
Anthony-Nolan/Atlas,0.3387096774193548,9,4,18,4515,25
