openshift/installer,1295,1260,30
kubermatic/kubeone,1216,208,30
Azure/terraform-azurerm-caf-enterprise-scale,446,320,30
Azure/terraform,407,528,30
aztfmod/terraform-azurerm-caf,379,506,30
lynnlangit/learning-cloud,356,102,1
ned1313/terraform-tuesdays,320,424,1
HoussemDellai/terraform-course,205,730,1
Azure/Mission-Critical-Online,248,68,10
Azure/avdaccelerator,143,104,28
microsoft/AzureTRE,117,96,30
ComputeCanada/magic_castle,87,29,18
Azure-Samples/media-services-video-indexer,82,64,22
Azure/FTALive-Sessions,94,69,30
hashicorp/hashicat-azure,77,1990,7
confluentinc/terraform-provider-confluent,78,37,17
sassoftware/viya4-iac-azure,65,79,19
jakewalsh90/Terraform-Azure,61,97,1
hashicorp/terraform-azurerm-terraform-enterprise,54,56,18
Azure/NoOpsAccelerator,57,32,10
Azure/terraform-azurerm-loadbalancer,47,95,16
PaloAltoNetworks/terraform-azurerm-vmseries-modules,42,50,19
40net-cloud/fortinet-azure-solutions,40,56,11
CDCgov/prime-simplereport,40,21,30
mrsimonemms/gitpod-self-hosted,56,4,2
microsoft/planetary-computer-hub,37,12,5
databricks/terraform-databricks-examples,42,24,7
MangoInstantMessenger/MangoMessengerAPI,33,7,11
asean-rssa/tf_azure_deployment,29,17,2
DFE-Digital/apply-for-teacher-training,28,6,30
Azure/terraform-azurerm-postgresql,28,46,15
hashicorp/vault-plugin-secrets-azure,24,17,24
equinor/radix-platform,23,2,22
Azure/azure-data-labs-modules,34,12,6
dfds/infrastructure-modules,21,14,28
adamrushuk/devops-lab,21,2,1
Pwd9000-ML/Azure-Terraform-Deployments,21,14,3
sergelogvinov/terraform-talos,19,5,2
claranet/terraform-azurerm-app-gateway,20,31,14
Azure-Samples/container-apps-azapi-terraform,19,7,2
recognizegroup/terraform,17,2,23
geekzter/azure-pipeline-agents,15,6,1
echo-webkom/echo-web,14,2,19
hashicorp/vault-plugin-auth-azure,14,17,28
PacktPublishing/Terraform-Cookbook-Second-Edition,18,19,3
jmc265/personal-cloud,13,2,2
e2eSolutionArchitect/terraform,17,81,1
PacketFabric/terraform-provider-packetfabric,10,3,10
MontiCore/montithings,10,6,30
Azure/aks-baseline-windows,11,0,6
Azure/aks-app-routing-operator,11,4,6
brave/security-action,12,4,4
nimbix/jarvice-helm,9,7,9
dirien/quick-bites,14,0,2
Anthony-Nolan/Atlas,9,4,18
jkroepke/homelab,8,1,2
claranet/terraform-azurerm-function-app,8,16,10
tetrateio/tetrate-service-bridge-sandbox,8,8,9
GTRekter/Training,8,10,3
kashw2/Fleet-of-the-Faithful-Knights,7,1,3
