Project Name,Policy ID,Evaluation
Azure/terraform,POL22,BOTH
lynnlangit/learning-cloud,POL10,NONE
HoussemDellai/terraform-course,POL10,NONE
HoussemDellai/terraform-course,POL22,BOTH
microsoft/AzureTRE,POL10,NONE
hashicorp/terraform-azurerm-terraform-enterprise,POL10,NONE
PaloAltoNetworks/terraform-azurerm-vmseries-modules,POL10,BOTH
CDCgov/prime-simplereport,POL10,BOTH
microsoft/planetary-computer-hub,POL10,NONE
databricks/terraform-databricks-examples,POL10,NONE
MangoInstantMessenger/MangoMessengerAPI,POL10,NONE
asean-rssa/tf_azure_deployment,POL10,NONE
Azure/azure-data-labs-modules,POL10,BOTH
adamrushuk/devops-lab,POL10,BOTH
Pwd9000-ML/Azure-Terraform-Deployments,POL10,TFSEC
Azure-Samples/container-apps-azapi-terraform,POL10,NONE
geekzter/azure-pipeline-agents,POL10,NONE
echo-webkom/echo-web,POL10,NONE
PacktPublishing/Terraform-Cookbook-Second-Edition,POL22,BOTH
MontiCore/montithings,POL10,NONE
dirien/quick-bites,POL10,NONE
Anthony-Nolan/Atlas,POL10,NONE
kashw2/Fleet-of-the-Faithful-Knights,POL10,BOTH
kashw2/Fleet-of-the-Faithful-Knights,POL22,BOTH
pekalam/auctionhouse,POL10,NONE
briandenicola/kubernetes,POL10,NONE
pagopa/cstar-infrastructure,POL10,BOTH
prancer-io/prancer-terramerra,POL20,NONE
prancer-io/prancer-terramerra,POL22,TFSEC
JFolberth/Azure_IaC_Flavors,POL10,NONE
CDCgov/phdi-azure,POL10,NONE
gogorichie/tf-playground,POL10,NONE
gogorichie/tf-playground,POL22,BOTH
mattiasholm/code,POL10,BOTH
pavanjava/terraform-tutorial,POL10,NONE
jmvigueras/playground,POL10,BOTH
pagopa/terraform-azurerm-v3,POL10,BOTH
pagopa/terraform-azurerm-v3,POL20,BOTH
pagopa/terraform-azurerm-v3,POL22,BOTH
oaviles/hello_iac,POL10,NONE
DFE-Digital/get-an-identity,POL10,BOTH
geekzter/azure-pipelines-container-agent,POL10,NONE
paulveillard/cybersecurity-secrets-management,POL10,NONE
lacework/terraform-azure-activity-log,POL10,NONE
DevOps-Team-Ca/CI-CD-Team-Project-Jenkins-Azure-Pipeline-GithubActions,POL22,BOTH
equinor/terraform-azurerm-sql,POL10,BOTH
zakarel/Azure-terraform-templates,POL10,NONE
LOLRedPanda/app-core,POL10,NONE
tjsullivan1/tjs-scripts,POL10,NONE
tuananh281/devops-project,POL10,NONE
FrenchBarbusCorp/Workshop-Azure-Container-Apps,POL10,NONE
