Repository Full Name,0,0,2
gravitational/teleport,14257,1474,30
GoogleCloudPlatform/microservices-demo,14039,4925,30
gitpod-io/gitpod,10632,1073,30
bridgecrewio/checkov,5512,892,30
Azure/Azure-Sentinel,3251,2272,30
GoogleCloudPlatform/professional-services,2481,1227,30
determined-ai/determined,2272,306,30
WorldHealthOrganization/app,2119,521,30
GoogleCloudPlatform/community,1814,1704,30
serverpod/serverpod,1512,122,18
Azure/Microsoft-Defender-for-Cloud,1315,584,30
google/osv.dev,1101,125,23
codeaprendiz/learn-devops,1072,167,1
GoogleCloudPlatform/kubernetes-engine-samples,1040,1099,30
GoogleCloudPlatform/cloud-foundation-fabric,942,525,30
hail-is/hail,878,227,30
GoogleCloudPlatform/cloud-foundation-toolkit,821,397,30
digital-asset/daml,754,191,30
GoogleCloudPlatform/bank-of-anthos,715,450,30
GoogleCloudPlatform/magic-modules,649,970,30
GoogleCloudPlatform/k8s-config-connector,634,126,12
edgelesssys/constellation,641,22,23
returntocorp/semgrep-rules,523,286,30
kubernetes/k8s.io,470,618,30
GoogleCloudPlatform/terraform-validator,441,96,30
alphagov/govuk-aws,401,71,30
databricks/terraform-provider-databricks,314,258,30
xUnholy/k8s-gitops,318,23,24
bacalhau-project/bacalhau,310,55,30
ine-labs/GCPGoat,265,44,4
terraform-google-modules/terraform-google-sql-db,224,373,30
GoogleCloudPlatform/gcpdiag,215,53,30
input-output-hk/hydra,199,64,28
googlecloudrobotics/core,183,53,29
cloudfoundry/bosh-bootloader,177,183,30
terraform-google-modules/terraform-docs-samples,164,129,30
praetorian-inc/trident,138,33,6
api3dao/airnode,137,66,25
GoogleCloudPlatform/vertex-pipelines-end-to-end-samples,132,52,8
convox/convox,125,50,30
interledger/rafiki,126,28,27
terraform-google-modules/terraform-google-cloud-storage,124,369,30
silverton-io/buz,119,13,9
sungchun12/airflow-toolkit,101,29,2
interuss/dss,100,74,29
terraform-google-modules/docs-examples,85,74,3
confluentinc/terraform-provider-confluent,82,40,17
ClimateImpactLab/downscaleCMIP6,83,19,9
os-autoinst/os-autoinst-distri-opensuse,73,249,30
